Committee,Code,Flag
Albania,ALB,🇦🇱
Algeria,ALG,🇩🇿
Argentina,ARG,🇦🇷
Armenia,ARM,🇦🇲
Australia,AUS,🇦🇺
Austria,AUT,🇦🇹
Azerbaijan,AZE,🇦🇿
Bahrain,BRN,🇧🇭
Belgium,BEL,🇧🇪
Botswana,BOT,🇧🇼
Brazil,BRA,🇧🇷
Bulgaria,BUL,🇧🇬
Cabo Verde,CPV,🇨🇻
Canada,CAN,🇨🇦
Chile,CHI,🇨🇱
China,CHN,🇨🇳
Chinese Taipei,TPE,🇹🇼
Colombia,COL,🇨🇴
Croatia,CRO,🇭🇷
Cuba,CUB,🇨🇺
Cyprus,CYP,🇨🇾
Czechia,CZE,🇨🇿
Denmark,DEN,🇩🇰
Dominica,DMA,🇩🇲
Dominican Republic,DOM,🇩🇴
DPR South Korea,PRK,🇰🇵
Ecuador,ECU,🇪🇨
Egypt,EGY,🇪🇬
EOR,EOR,⚪
Ethiopia,ETH,🇪🇹
Fiji,FIJ,🇫🇯
France,FRA,🇫🇷
Georgia,GEO,🇬🇪
Germany,GER,🇩🇪
Great Britain,GBR,🇬🇧
Greece,GRE,🇬🇷
Grenada,GRN,🇬🇩
Guatemala,GUA,🇬🇹
"Hong Kong,China",HKG,🇭🇰
Hungary,HUN,🇭🇺
India,IND,🇮🇳
Individual Neutral Athletes,AIN,⚪
Indonesia,INA,🇮🇩
Iran,IRI,🇮🇷
Ireland,IRL,🇮🇪
Israel,ISR,🇮🇱
Italy,ITA,🇮🇹
Ivory Coast,CIV,🇨🇮
Jamaica,JAM,🇯🇲
Japan,JPN,🇯🇵
Jordan,JOR,🇯🇴
Kazakhstan,KAZ,🇰🇿
Kenya,KEN,🇰🇪
Kosovo,KOS,🇽🇰
Kyrgyzstan,KGZ,🇰🇬
Lithuania,LTU,🇱🇹
Malaysia,MAS,🇲🇾
Mexico,MEX,🇲🇽
Moldova,MDA,🇲🇩
Mongolia,MGL,🇲🇳
Morocco,MAR,🇲🇦
Netherlands,NED,🇳🇱
New Zealand,NZL,🇳🇿
Norway,NOR,🇳🇴
Pakistan,PAK,🇵🇰
Panama,PAN,🇵🇦
Peru,PER,🇵🇪
Philippines,PHI,🇵🇭
Poland,POL,🇵🇱
Portugal,POR,🇵🇹
Puerto Rico,PUR,🇵🇷
Qatar,QAT,🇶🇦
Romania,ROU,🇷🇴
Saint Lucia,LCA,🇱🇨
Serbia,SRB,🇷🇸
Singapore,SGP,🇸🇬
Slovakia,SVK,🇸🇰
Slovenia,SLO,🇸🇮
South Africa,RSA,🇿🇦
South Korea,KOR,🇰🇷
Spain,ESP,🇪🇸
Sweden,SWE,🇸🇪
Switzerland,SUI,🇨🇭
Tajikistan,TJK,🇹🇯
Thailand,THA,🇹🇭
Tunisia,TUN,🇹🇳
Turkey,TUR,🇹🇷
Uganda,UGA,🇺🇬
Ukraine,UKR,🇺🇦
United States,USA,🇺🇸
Uzbekistan,UZB,🇺🇿
Zambia,ZAM,🇿🇲

